lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,N_steps,epoch,val_loss
9.999999999999994e-05,3499,,,,,,,,
9.999999999999994e-05,3499,,,,,,,,
,3499,2.1010778645257292e+30,2.1010778645257292e+30,4.611929010497126e+18,1.451333495870718e+18,8.999197558869852e+17,9.0,50,
,3518,,,,,,,50,4.505577923666772e+18
9.999999999999994e-05,3549,,,,,,,,
9.999999999999994e-05,3549,,,,,,,,
9.999999999999994e-05,3549,,,,,,,,
,3549,9.094615238959809e+26,9.094615238959809e+26,4.696238462603362e+18,1.4619397973491057e+18,1.3006726401968046e+18,9.0,51,
,3587,,,,,,,51,4.505351699149357e+18
9.999999999999994e-05,3599,,,,,,,,
9.999999999999994e-05,3599,,,,,,,,
9.999999999999994e-05,3599,,,,,,,,
,3599,2.554688433846531e+24,2.554680939856751e+24,4.704686560195379e+18,1.472928041679192e+18,1.3260174827286692e+18,9.0,52,
9.999999999999994e-05,3649,,,,,,,,
9.999999999999994e-05,3649,,,,,,,,
9.999999999999994e-05,3649,,,,,,,,
,3649,6.885077350183785e+29,6.885077350183785e+29,4.651269536538952e+18,1.393035190342779e+18,1.0933243322491208e+18,9.0,52,
,3656,,,,,,,52,4.5032925887484396e+18
9.999999999999994e-05,3699,,,,,,,,
9.999999999999994e-05,3699,,,,,,,,
9.999999999999994e-05,3699,,,,,,,,
,3699,6.8796976302865e+29,6.8796976302865e+29,4.700435298486583e+18,1.4600255476051476e+18,1.1715580892586967e+18,9.0,53,
,3725,,,,,,,53,4.4972073416445133e+18
9.999999999999994e-05,3749,,,,,,,,
9.999999999999994e-05,3749,,,,,,,,
9.999999999999994e-05,3749,,,,,,,,
,3749,9.078091383488343e+26,9.078091383488343e+26,5.350324186071958e+18,1.420697116191228e+18,9.38021132324307e+17,9.0,54,
,3794,,,,,,,54,4.50029641956275e+18
9.999999999999994e-05,3799,,,,,,,,
9.999999999999994e-05,3799,,,,,,,,
9.999999999999994e-05,3799,,,,,,,,
,3799,6.09828966777725e+23,6.098219771911034e+23,4.600621632917078e+18,1.355315207001342e+18,1.0271645185825833e+18,10.0,55,
9.999999999999994e-05,3849,,,,,,,,
9.999999999999994e-05,3849,,,,,,,,
9.999999999999994e-05,3849,,,,,,,,
,3849,1.5175865403663893e+28,1.5175865403663893e+28,4.1437437652505723e+18,1.378286753684652e+18,9.826354658887598e+17,10.0,55,
,3863,,,,,,,55,4.501149915463811e+18
9.999999999999994e-05,3899,,,,,,,,
9.999999999999994e-05,3899,,,,,,,,
9.999999999999994e-05,3899,,,,,,,,
,3899,1.5136674484222558e+28,1.5136674484222558e+28,5.301676843856822e+18,1.4657534534300467e+18,1.1864361308499476e+18,10.0,56,
,3932,,,,,,,56,4.5002200035046195e+18
9.999999999999994e-05,3949,,,,,,,,
9.999999999999994e-05,3949,,,,,,,,
9.999999999999994e-05,3949,,,,,,,,
,3949,2.653785979974568e+29,2.653785979974568e+29,4.1088977678651884e+18,1.4310744443731313e+18,1.5448693623624827e+18,10.0,57,
9.999999999999994e-05,3999,,,,,,,,
9.999999999999994e-05,3999,,,,,,,,
9.999999999999994e-05,3999,,,,,,,,
,3999,1.5110954115173609e+28,1.5110954115173609e+28,4.603891305620177e+18,1.494550487595221e+18,1.2022384494032978e+18,10.0,57,
,4001,,,,,,,57,4.501444584580055e+18
9.999999999999994e-05,4049,,,,,,,,
9.999999999999994e-05,4049,,,,,,,,
9.999999999999994e-05,4049,,,,,,,,
,4049,2.1034603550847348e+30,2.1034603550847348e+30,5.35371672919946e+18,1.4491945334378332e+18,1.2016836083481313e+18,10.0,58,
,4070,,,,,,,58,4.50065980815573e+18
9.999999999999994e-05,4099,,,,,,,,
9.999999999999994e-05,4099,,,,,,,,
9.999999999999994e-05,4099,,,,,,,,
,4099,6.180929640075588e+23,6.180851097298087e+23,5.252589147234763e+18,1.4678583310024704e+18,1.176050556330836e+18,10.0,59,
,4139,,,,,,,59,4.5019135262893015e+18
9.999999999999994e-05,4149,,,,,,,,
9.999999999999994e-05,4149,,,,,,,,
9.999999999999994e-05,4149,,,,,,,,
,4149,1.7214317102145016e+26,1.7214317102145016e+26,5.300264521170944e+18,1.4210785092871127e+18,1.1198512185003213e+18,10.0,60,
9.999999999999994e-05,4199,,,,,,,,
9.999999999999994e-05,4199,,,,,,,,
9.999999999999994e-05,4199,,,,,,,,
,4199,2.6537227002636976e+29,2.6537227002636976e+29,5.267240139674878e+18,1.416383869514416e+18,1.4484911208739635e+18,10.0,60,
,4208,,,,,,,60,4.5004662941092413e+18
9.999999999999994e-05,4249,,,,,,,,
9.999999999999994e-05,4249,,,,,,,,
9.999999999999994e-05,4249,,,,,,,,
,4249,1.5138346201957494e+28,1.5138346201957494e+28,4.102788606383358e+18,1.4157057457179853e+18,1.2404921082010665e+18,10.0,61,
,4277,,,,,,,61,4.4982903605978726e+18
9.999999999999994e-05,4299,,,,,,,,
9.999999999999994e-05,4299,,,,,,,,
9.999999999999994e-05,4299,,,,,,,,
,4299,2.103449021405176e+30,2.103449021405176e+30,4.0455829405355213e+18,1.4555652412481208e+18,1.119489479174783e+18,10.0,62,
,4346,,,,,,,62,4.5031653202775245e+18
9.999999999999994e-05,4349,,,,,,,,
9.999999999999994e-05,4349,,,,,,,,
9.999999999999994e-05,4349,,,,,,,,
,4349,2.107070509813559e+30,2.107070509813559e+30,4.140922418413699e+18,1.361322663657603e+18,8.414416802079048e+17,10.0,63,
9.999999999999994e-05,4399,,,,,,,,
9.999999999999994e-05,4399,,,,,,,,
9.999999999999994e-05,4399,,,,,,,,
,4399,2.1018586794894728e+30,2.1018586794894728e+30,4.625081918344397e+18,1.410170529305854e+18,1.2629714859919933e+18,10.0,63,
,4415,,,,,,,63,4.5004025224348303e+18
9.999999999999994e-05,4449,,,,,,,,
9.999999999999994e-05,4449,,,,,,,,
9.999999999999994e-05,4449,,,,,,,,
,4449,1.5130880140548077e+28,1.5130880140548077e+28,4.60995703639271e+18,1.411304675549905e+18,1.1028013665663058e+18,10.0,64,
,4484,,,,,,,64,4.5017623434404823e+18
9.999999999999994e-05,4499,,,,,,,,
9.999999999999994e-05,4499,,,,,,,,
9.999999999999994e-05,4499,,,,,,,,
,4499,1.516942527637288e+28,1.516942527637288e+28,4.086409181664379e+18,1.355315207001342e+18,1.0271645185825833e+18,10.0,65,
9.999999999999994e-05,4549,,,,,,,,
9.999999999999994e-05,4549,,,,,,,,
9.999999999999994e-05,4549,,,,,,,,
,4549,1.2510465330008686e+30,1.2510465330008686e+30,5.225486185610084e+18,1.405391364576772e+18,1.26339094967799e+18,10.0,65,
,4553,,,,,,,65,4.5081680981839053e+18
9.999999999999994e-05,4599,,,,,,,,
9.999999999999994e-05,4599,,,,,,,,
9.999999999999994e-05,4599,,,,,,,,
,4599,1.248849839228765e+30,1.248849839228765e+30,4.62879826764628e+18,1.5197753459207045e+18,9.045231361945764e+17,10.0,66,
,4622,,,,,,,66,4.507443520021201e+18
9.999999999999994e-05,4649,,,,,,,,
9.999999999999994e-05,4649,,,,,,,,
9.999999999999994e-05,4649,,,,,,,,
,4649,6.209485344016879e+23,6.209404639511556e+23,5.26163263037322e+18,1.4130537236717896e+18,1.3589020888090542e+18,10.0,67,
,4691,,,,,,,67,4.50603861903881e+18
9.999999999999994e-05,4699,,,,,,,,
9.999999999999994e-05,4699,,,,,,,,
9.999999999999994e-05,4699,,,,,,,,
,4699,2.1032963945204495e+30,2.1032963945204495e+30,5.300996246159229e+18,1.392276664758567e+18,1.1335905783620567e+18,10.0,68,
9.999999999999994e-05,4749,,,,,,,,
9.999999999999994e-05,4749,,,,,,,,
9.999999999999994e-05,4749,,,,,,,,
,4749,6.513688006463038e+23,6.513610904837417e+23,4.658129389584646e+18,1.483690198930817e+18,1.4895815196713943e+18,10.0,68,
,4760,,,,,,,68,4.503933604027433e+18
9.999999999999994e-05,4799,,,,,,,,
9.999999999999994e-05,4799,,,,,,,,
9.999999999999994e-05,4799,,,,,,,,
,4799,2.647184489420835e+29,2.647184489420835e+29,4.110381833684779e+18,1.469902048240599e+18,8.667568359258194e+17,10.0,69,
,4829,,,,,,,69,4.503044648876376e+18
9.999999999999994e-05,4849,,,,,,,,
9.999999999999994e-05,4849,,,,,,,,
9.999999999999994e-05,4849,,,,,,,,
,4849,2.104963805457153e+30,2.104963805457153e+30,4.641477835737793e+18,1.3846632339309855e+18,1.1093865478634865e+18,10.0,70,
,4898,,,,,,,70,4.502594398864802e+18
9.999999999999994e-05,4899,,,,,,,,
9.999999999999994e-05,4899,,,,,,,,
9.999999999999994e-05,4899,,,,,,,,
,4899,2.6576813656389575e+29,2.6576813656389575e+29,5.284792743300694e+18,1.3735866163538166e+18,1.0327923688493548e+18,10.0,71,
9.999999999999994e-05,4949,,,,,,,,
