lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,L_ae,N_steps,epoch,val_loss
9.999999999999994e-05,3899,,,,,,,,,
,3899,0.06532671302556992,0.019657699391245842,0.03059476800262928,0.008219561539590359,0.006572496611624956,0.00028218686929903924,10.0,54,
,3904,,,,,,,,54,0.03941201791167259
9.999999999999994e-05,3949,,,,,,,,,
9.999999999999994e-05,3949,,,,,,,,,
9.999999999999994e-05,3949,,,,,,,,,
,3949,0.08061715960502625,0.023161303251981735,0.044570956379175186,0.006923110689967871,0.005727590527385473,0.0002342009829590097,10.0,55,
,3975,,,,,,,,55,0.03888909891247749
9.999999999999994e-05,3999,,,,,,,,,
9.999999999999994e-05,3999,,,,,,,,,
9.999999999999994e-05,3999,,,,,,,,,
,3999,0.07515937089920044,0.022214684635400772,0.03362782299518585,0.01032486092299223,0.008730551227927208,0.0002614505065139383,10.0,56,
,4046,,,,,,,,56,0.03865068033337593
9.999999999999994e-05,4049,,,,,,,,,
9.999999999999994e-05,4049,,,,,,,,,
9.999999999999994e-05,4049,,,,,,,,,
,4049,0.0576847679913044,0.016906563192605972,0.02906372956931591,0.0066312928684055805,0.004852741025388241,0.0002304432273376733,10.0,57,
9.999999999999994e-05,4099,,,,,,,,,
9.999999999999994e-05,4099,,,,,,,,,
9.999999999999994e-05,4099,,,,,,,,,
,4099,0.060750119388103485,0.014790748246014118,0.02948446199297905,0.00863514095544815,0.007589233573526144,0.0002505377633497119,10.0,57,
,4117,,,,,,,,57,0.0337270088493824
9.999999999999994e-05,4149,,,,,,,,,
9.999999999999994e-05,4149,,,,,,,,,
9.999999999999994e-05,4149,,,,,,,,,
,4149,0.07525500655174255,0.022093966603279114,0.038209185004234314,0.007794980891048908,0.006936086341738701,0.00022078533947933465,11.0,58,
,4188,,,,,,,,58,0.033433422446250916
9.999999999999994e-05,4199,,,,,,,,,
9.999999999999994e-05,4199,,,,,,,,,
9.999999999999994e-05,4199,,,,,,,,,
,4199,0.06109624728560448,0.016090169548988342,0.030429664999246597,0.008074816316366196,0.006268366705626249,0.00023322878405451775,11.0,59,
9.999999999999994e-05,4249,,,,,,,,,
